Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82696;01/01/2008;0000;21.4;19.4;82;947.2;14;3.3;0;
82696;01/01/2008;1200;23.4;22.2;91;947.8;14;2.5;8;
82696;01/01/2008;1800;28.4;22.8;63;945.4;14;4.1;5;
82696;02/01/2008;0000;21.2;19.8;88;947.7;14;1.6;8;
82696;02/01/2008;1200;24.2;21.2;76;948.4;14;1.6;7;
82696;02/01/2008;1800;29.4;24;63;945.6;14;2.3;5;
82696;03/01/2008;0000;21.2;20;90;948.7;14;2.8;7;
82696;03/01/2008;1200;23.2;20.2;76;950.5;18;1.6;8;
82696;03/01/2008;1800;27.8;22.4;63;946.6;14;4.6;7;
82696;04/01/2008;0000;22.2;20.8;87;949.7;14;1.6;8;
82696;04/01/2008;1200;24;21.6;82;950;14;1.6;8;
82696;04/01/2008;1800;27.4;22.4;64;948.9;14;0.3;7;
82696;05/01/2008;0000;21.6;20.4;90;950.7;14;2.5;9;
82696;05/01/2008;1200;23.4;21;81;949.8;14;2;7;
82696;05/01/2008;1800;27.8;22;61;947.3;14;4.6;5;
82696;06/01/2008;0000;21.8;20.6;89;949.6;14;3.3;8;
82696;06/01/2008;1200;24.2;20.8;74;948.6;18;2.3;5;
82696;06/01/2008;1800;28.8;21.8;54;946.7;14;3.3;5;
82696;07/01/2008;0000;21.2;20;90;948.6;14;1.6;0;
82696;07/01/2008;1200;24.2;22;82;948.7;14;1;10;
82696;07/01/2008;1800;29.2;23.4;62;945.2;14;1.6;5;
82696;08/01/2008;0000;22.4;21.4;92;947.7;14;1.6;10;
82696;08/01/2008;1200;24;21.8;84;947.5;14;1;8;
82696;08/01/2008;1800;29;23;60;944.8;14;3.3;7;
82696;09/01/2008;0000;21.4;20.4;91;947.1;14;1.6;0;
82696;09/01/2008;1200;24.4;20.4;70;947;14;2.8;7;
82696;09/01/2008;1800;29;21.8;53;943.5;14;3.3;5;
82696;10/01/2008;0000;21.6;20;87;945.7;14;1.6;8;
82696;10/01/2008;1200;23.8;21;78;946.6;14;1.6;8;
82696;10/01/2008;1800;28.6;24;69;943.1;14;3.3;7;
82696;11/01/2008;0000;22;20.6;88;946.2;14;1.6;8;
82696;11/01/2008;1200;24.6;21.2;73;947.2;14;1.8;8;
82696;11/01/2008;1800;27;22.4;67;945;14;1.1;7;
82696;12/01/2008;0000;22;21;92;947.8;14;0.5;9;
82696;12/01/2008;1200;23.4;21.4;84;948.1;0;0;7;
82696;12/01/2008;1800;28.2;22.6;62;945.1;14;1.1;7;
82696;13/01/2008;0000;22;20.8;90;947.2;14;2.3;7;
82696;13/01/2008;1200;22;21.4;95;947.4;14;1.6;10;
82696;13/01/2008;1800;25.2;22.1;76;944.8;14;2;6;
82696;14/01/2008;0000;20.8;20.6;99;947;14;2.8;10;
82696;14/01/2008;1200;20.2;20;97;947.3;18;4;10;
82696;14/01/2008;1800;21.2;20.4;93;945.7;14;2;10;
82696;15/01/2008;0000;20.8;20.6;99;946.5;14;3.1;10;
82696;15/01/2008;1200;22;21;92;946.7;18;4.1;8;
82696;15/01/2008;1800;26.8;22.4;68;944.5;9;3;8;
82696;16/01/2008;0000;21.6;20.6;92;947.3;14;3.3;8;
82696;16/01/2008;1200;22;21.4;95;947.1;18;3.3;10;
82696;16/01/2008;1800;21.2;20.8;97;944.8;9;0.8;10;
82696;17/01/2008;0000;20.8;20.4;97;947.5;18;1;10;
82696;17/01/2008;1200;21.6;21.4;98;947.7;14;3.3;10;
82696;17/01/2008;1800;22.6;22;93;946.4;14;1.5;9;
82696;18/01/2008;0000;21.4;21.2;97;947.9;14;2.5;8;
82696;18/01/2008;1200;22.4;21.8;95;948.9;14;2.6;9;
82696;18/01/2008;1800;26;23.2;79;946.2;14;2.3;8;
82696;19/01/2008;0000;21.2;20.4;93;947.8;14;2.8;8;
82696;19/01/2008;1200;23.4;21;81;947.6;18;4.6;7;
82696;19/01/2008;1800;28.4;22;58;945.3;14;1.6;6;
82696;20/01/2008;0000;21.2;20.2;92;947.6;14;2.6;8;
82696;20/01/2008;1200;23.4;21.4;84;947.8;18;2.3;7;
82696;20/01/2008;1800;29;23;60;944.9;18;3;5;
82696;21/01/2008;0000;22.2;21.2;90;946.6;9;2.5;8;
82696;21/01/2008;1200;25.2;22.6;79;947.9;9;0.8;10;
82696;21/01/2008;1800;29;24.4;69;944.6;9;1.6;10;
82696;22/01/2008;0000;22.6;21.6;90;947.1;9;1.1;10;
82696;22/01/2008;1200;25;23;85;948.1;9;0.8;7;
82696;22/01/2008;1800;28.4;23.8;69;944.6;14;2.1;8;
82696;23/01/2008;0000;22.6;21.6;90;946.9;9;3.3;10;
82696;23/01/2008;1200;22.8;22.2;95;947.5;14;3;9;
82696;23/01/2008;1800;26.8;23;71;945.2;14;2.2;10;
82696;24/01/2008;0000;22.2;21.4;92;947.5;14;1.6;10;
82696;24/01/2008;1200;23.8;22.2;87;947.6;14;1.8;9;
82696;24/01/2008;1800;27.4;23;68;945;14;2.5;8;
82696;25/01/2008;0000;22.4;21.4;92;946.9;14;3;10;
82696;25/01/2008;1200;23.2;21.6;86;947.5;18;2.5;7;
82696;25/01/2008;1800;28.6;24.2;71;944.5;14;2.8;5;
82696;26/01/2008;0000;22.2;21;89;946.7;14;2;10;
82696;26/01/2008;1200;23.4;21.4;84;947.5;14;2.5;8;
82696;26/01/2008;1800;28;22.8;63;944.6;14;3.3;5;
82696;27/01/2008;0000;22.2;21;89;946.9;14;2.5;9;
82696;27/01/2008;1200;22.6;21.2;87;947.9;9;2.8;10;
82696;27/01/2008;1800;24.4;21.6;79;946;14;0.8;9;
82696;28/01/2008;0000;21.8;20.6;89;947.6;14;1.8;10;
82696;28/01/2008;1200;23;21.2;86;947.7;14;3.3;7;
82696;28/01/2008;1800;28.2;22.2;59;945.9;14;3.3;7;
82696;29/01/2008;0000;21.6;20.4;90;947;14;3;3;
82696;29/01/2008;1200;22.8;21.2;87;946.4;14;3.3;8;
82696;29/01/2008;1800;27;23;71;944.1;14;3.3;7;
82696;30/01/2008;0000;22.4;21.6;93;945.2;14;3;9;
82696;30/01/2008;1200;22.2;20.6;86;945.1;18;0.8;10;
82696;30/01/2008;1800;24;22.4;88;942.5;14;2.6;8;
82696;31/01/2008;0000;22;21.6;97;944.1;14;3;10;
82696;31/01/2008;1200;24.4;22.2;83;944.6;9;2.3;7;
82696;31/01/2008;1800;25.6;23.2;80;942.9;9;3.3;8;
82696;01/02/2008;0000;22.2;21.4;92;944.1;9;2;9;
82696;01/02/2008;1200;23.6;21;79;946.9;9;3;8;
82696;01/02/2008;1800;26;21.4;67;945.1;9;2.1;8;
82696;02/02/2008;0000;21.4;19.6;84;946.8;9;1.1;9;
82696;02/02/2008;1200;23.8;21;78;948.1;14;3.3;9;
82696;02/02/2008;1800;28.6;22.4;60;945.4;14;3;7;
82696;03/02/2008;0000;21.8;20.6;89;948.6;14;1.8;8;
82696;03/02/2008;1200;24;21.4;81;944.2;14;3.6;7;
82696;03/02/2008;1800;28.2;22.4;60;946.4;14;3.3;7;
82696;04/02/2008;0000;22.6;21.4;89;950;14;1.8;8;
82696;04/02/2008;1200;23.8;21;78;948.7;14;1.1;8;
82696;04/02/2008;1800;28.4;21.2;53;946;14;3.3;0;
82696;05/02/2008;0000;21.6;20;87;948.7;0;0;0;
82696;05/02/2008;1200;24.2;21.6;79;949.9;14;3.3;8;
