Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82795;01/01/2008;0000;23.2;20.6;79;951.2;9;4.5;4;
82795;01/01/2008;1200;24.4;20.2;69;952.9;14;4.5;5;
82795;01/01/2008;1800;30.2;21.1;44;949.3;14;3.8;6;
82795;02/01/2008;0000;23.5;20.9;80;951.4;9;5;0;
82795;02/01/2008;1200;24.5;21;74;952.3;14;2.5;4;
82795;02/01/2008;1800;31.4;21.5;42;949.7;14;2.5;5;
82795;03/01/2008;0000;23.3;21.6;86;952.6;9;5;7;
82795;03/01/2008;1200;25.3;21.2;70;953.7;14;4.5;4;
82795;03/01/2008;1800;30.7;22.7;51;950.3;14;3.8;4;
82795;04/01/2008;0000;23.7;22;86;954;9;5.3;2;
82795;04/01/2008;1200;25.9;22.4;74;954.4;14;5.1;9;
82795;04/01/2008;1800;30.2;23.2;55;951.8;14;5.8;5;
82795;05/01/2008;0000;23.3;22.2;91;954.8;9;5;3;
82795;05/01/2008;1200;25.5;22;74;954;14;5;8;
82795;05/01/2008;1800;30.5;22.4;50;951;14;3.8;4;
82795;06/01/2008;0000;23.3;21.7;87;953.9;14;4.8;7;
82795;06/01/2008;1200;25.1;21.2;70;952.7;14;4.3;3;
82795;06/01/2008;1800;30.9;22.3;47;950.7;14;4.8;2;
82795;07/01/2008;0000;23.9;21.3;80;952.7;9;4;0;
82795;07/01/2008;1200;24.8;22.5;82;952.5;14;3;10;
82795;07/01/2008;1800;31.3;23.7;53;948.9;9;3.8;7;
82795;08/01/2008;0000;24.2;22.9;89;951.5;9;3.8;8;
82795;08/01/2008;1200;25.9;22.7;76;951.5;9;3.8;7;
82795;08/01/2008;1800;30.5;22.8;52;948.2;14;6.3;6;
82795;09/01/2008;0000;23.5;21.8;87;951.2;9;4.6;3;
82795;09/01/2008;1200;26.1;21.7;69;951.4;14;5.3;5;
82795;09/01/2008;1800;30.8;21;43;947.1;14;5.3;2;
82795;10/01/2008;0000;23;20.7;82;949.6;9;4.6;1;
82795;10/01/2008;1200;25.5;21.6;72;950.3;14;3.8;6;
82795;10/01/2008;1800;30.6;21.9;47;947.2;14;3;6;
82795;11/01/2008;0000;23.2;21.7;87;950.2;9;5;4;
82795;11/01/2008;1200;24.6;22;79;951.2;14;4.3;9;
82795;11/01/2008;1800;29.2;23.6;63;949.4;9;4.1;6;
82795;12/01/2008;0000;23.6;22;86;951.6;9;5;6;
82795;12/01/2008;1200;23.9;22.2;87;952.5;14;3;10;
82795;12/01/2008;1800;30.8;23.3;54;948.8;14;2.8;4;
82795;13/01/2008;0000;23.5;21.9;88;951.2;14;5.3;8;
82795;13/01/2008;1200;22.9;22.6;97;951.3;18;3;10;
82795;13/01/2008;1800;29.2;23.7;64;948.3;9;5.3;7;
82795;14/01/2008;0000;22.6;22.2;95;951.2;14;3;10;
82795;14/01/2008;1200;21.6;21.4;98;951.3;14;3.8;10;
82795;14/01/2008;1800;27.2;22.5;68;949;14;3.8;10;
82795;15/01/2008;0000;21.8;21.4;95;950.8;9;4.3;9;
82795;15/01/2008;1200;24.9;21.6;75;951.7;14;4.1;8;
82795;15/01/2008;1800;28.4;23;64;947.8;14;4.6;10;
82795;16/01/2008;0000;22.8;21.4;88;951.1;14;4;8;
82795;16/01/2008;1200;24.8;21.7;76;951.2;14;4.1;9;
82795;16/01/2008;1800;23.6;22.7;91;948.9;14;4;10;
82795;17/01/2008;0000;21.8;21.6;97;951.5;14;3;10;
82795;17/01/2008;1200;22.1;21.8;98;952;14;5.5;9;
82795;17/01/2008;1800;26;23.2;79;949;14;4.8;10;
82795;18/01/2008;0000;22.3;22;96;951.7;14;4;10;
82795;18/01/2008;1200;25.1;23.7;88;953.1;14;3;9;
82795;18/01/2008;1800;29.1;23.3;62;950;14;4.5;8;
82795;19/01/2008;0000;22.7;21.9;92;951.8;9;4;8;
82795;19/01/2008;1200;24.3;21.7;80;952.3;14;4.1;8;
82795;19/01/2008;1800;29.8;22.1;52;949.1;9;2.3;7;
82795;20/01/2008;0000;23;21.1;85;951.3;9;3.5;4;
82795;20/01/2008;1200;25.2;22.5;79;952.1;14;3.1;6;
82795;20/01/2008;1800;30.6;23.5;56;948.5;14;2.3;4;
82795;21/01/2008;0000;24.2;22.7;87;950.2;9;4.6;8;
82795;21/01/2008;1200;24.1;23.1;91;952.3;9;1.8;9;
82795;21/01/2008;1800;30.6;24.7;62;948.1;14;2.1;9;
82795;22/01/2008;0000;23.9;23;93;951.1;9;4.3;10;
82795;22/01/2008;1200;25.5;23.3;84;952.3;14;2.3;9;
82795;22/01/2008;1800;30.9;24.2;57;948.4;14;3.5;7;
82795;23/01/2008;0000;24;23.1;94;950.9;9;2.8;9;
82795;23/01/2008;1200;24.5;23.1;90;951.2;14;3.8;8;
82795;23/01/2008;1800;28.2;22.9;63;949;9;3.6;8;
82795;24/01/2008;0000;23.9;22.9;92;951.3;9;3.8;8;
82795;24/01/2008;1200;24.5;23.4;92;951.7;14;2;8;
82795;24/01/2008;1800;27.9;24;73;949.4;14;3.5;10;
82795;25/01/2008;0000;23.1;22.6;94;950.9;14;3.5;10;
82795;25/01/2008;1200;25.2;22.7;80;951.4;14;3.5;8;
82795;25/01/2008;1800;31.1;23.1;51;948.3;14;3.6;2;
82795;26/01/2008;0000;24;22.6;90;950.6;14;4.6;8;
82795;26/01/2008;1200;25.7;22.5;75;951.4;14;3.3;8;
82795;26/01/2008;1800;29.8;23.6;60;948.3;14;4.1;2;
82795;27/01/2008;0000;23.9;22;85;950.7;14;4.3;5;
82795;27/01/2008;1200;22.8;22.1;94;951.9;14;4.3;10;
82795;27/01/2008;1800;27.1;23.4;74;949.3;9;4.1;8;
82795;28/01/2008;0000;23.4;21.6;86;951.6;9;4.1;8;
82795;28/01/2008;1200;25.7;21.9;71;952.1;14;3.8;6;
82795;28/01/2008;1800;30.2;22.8;53;948.4;14;3.8;8;
82795;29/01/2008;0000;23.7;21.7;84;951.2;9;4;3;
82795;29/01/2008;1200;25.3;22.2;76;950.2;14;4.3;8;
82795;29/01/2008;1800;29.5;24.1;63;947.7;14;2.3;6;
82795;30/01/2008;0000;24.2;23.3;92;949;14;5.1;8;
82795;30/01/2008;1200;23.9;22.7;91;949.4;9;2;9;
82795;30/01/2008;1800;26.6;23.9;81;946.4;9;5.8;10;
82795;31/01/2008;0000;22.9;22.5;97;948.1;9;3.3;10;
82795;31/01/2008;1200;24.4;22.9;88;948.1;18;1.8;8;
82795;31/01/2008;1800;27.8;24.3;76;945.6;9;5;8;
82795;01/02/2008;0000;23.6;22.8;92;947.4;9;3.8;9;
82795;01/02/2008;1200;24.1;22.5;86;951.1;9;2.6;10;
82795;01/02/2008;1800;27.1;22.7;69;949;14;3;9;
82795;02/02/2008;0000;23.1;21.5;86;950.5;9;2.3;5;
82795;02/02/2008;1200;25;21.8;77;952.4;14;4.6;6;
82795;02/02/2008;1800;30.1;22.8;53;949.3;14;4.8;5;
82795;03/02/2008;0000;23.1;22;89;952.9;14;3.3;5;
82795;03/02/2008;1200;24.1;22.1;83;954.1;14;3;7;
82795;03/02/2008;1800;30.3;23.2;54;950.9;14;3;6;
82795;04/02/2008;0000;23.1;21.8;88;953.3;14;3.3;4;
82795;04/02/2008;1200;25.4;22.5;78;952.7;14;4.3;6;
82795;04/02/2008;1800;30.3;23.2;54;948.9;14;5;3;
82795;05/02/2008;0000;23.4;21.7;87;952.6;9;4.8;4;
82795;05/02/2008;1200;25.3;21.9;74;954.1;14;3.5;5;
82795;05/02/2008;1800;30.1;21.7;47;950.9;14;3.6;2;
82795;06/02/2008;0000;23.6;21.8;84;953.6;9;2.8;3;
82795;06/02/2008;1200;25.1;21.9;75;954.3;14;3.3;8;
82795;06/02/2008;1800;30.3;21.8;47;951.6;14;3.1;3;
82795;07/02/2008;0000;23.6;21.9;85;954;9;4.5;3;
82795;07/02/2008;1200;25.3;22.7;80;955.4;14;3.6;8;
82795;07/02/2008;1800;31.8;23.3;48;951;14;3.5;3;
82795;08/02/2008;0000;24.2;22.5;86;953.8;9;4;0;
82795;08/02/2008;1200;25.9;22.9;77;954.3;14;4.1;7;
82795;08/02/2008;1800;31.9;22.5;44;950.3;14;4.1;3;
82795;09/02/2008;0000;24.2;22.6;87;952.4;9;4.6;7;
82795;09/02/2008;1200;25.2;22.8;81;952.1;14;3;6;
82795;09/02/2008;1800;31.8;22.5;44;949;14;2.8;2;
82795;10/02/2008;0000;24.2;22.4;85;950.9;14;3.6;3;
82795;10/02/2008;1200;24.9;22.3;80;952;14;2.5;6;
82795;10/02/2008;1800;31.3;22.5;47;948.9;9;3.1;3;
