Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82798;01/01/2008;0000;26.8;22.6;68;1012.1;14;3.3;3;
82798;01/01/2008;1200;29.4;23.3;58;1012.7;14;3.5;4;
82798;01/01/2008;1800;29.6;23.5;59;1011.2;14;3.3;3;
82798;02/01/2008;0000;26.6;22.2;69;1012.8;14;2.6;4;
82798;02/01/2008;1200;29.8;23.9;61;1013.3;14;3.3;3;
82798;02/01/2008;1800;29.6;24.1;63;1010.8;14;4.6;3;
82798;03/01/2008;0000;27;23.9;77;1013.8;14;3.3;5;
82798;03/01/2008;1200;29.8;24.3;64;1014.5;14;6;4;
82798;03/01/2008;1800;29.8;24.7;66;1012.4;18;5.6;4;
82798;04/01/2008;0000;27.6;24.5;77;1014.8;14;4;6;
82798;04/01/2008;1200;29.2;25.1;72;1015.6;14;3.6;4;
82798;04/01/2008;1800;29.6;24.9;67;1013.9;14;4.6;4;
82798;05/01/2008;0000;27.2;23;70;1015.9;14;4;5;
82798;05/01/2008;1200;30;24.3;63;1015.1;14;3.6;4;
82798;05/01/2008;1800;29.4;23.9;62;1012.8;14;4.6;5;
82798;06/01/2008;0000;27.2;22.6;68;1014.6;14;3.3;4;
82798;06/01/2008;1200;29.6;23.7;60;1013.5;18;3.6;4;
82798;06/01/2008;1800;30;24.1;62;1011.1;14;2;2;
82798;07/01/2008;0000;26.8;23.5;74;1013.3;14;4;4;
82798;07/01/2008;1200;29.6;25.3;70;1013.3;14;3.3;6;
82798;07/01/2008;1800;29.4;25.1;69;1010.2;14;2.6;6;
82798;08/01/2008;0000;27.2;25.1;85;1012.5;18;3.3;6;
82798;08/01/2008;1200;30;25.1;68;1012.4;14;3.3;4;
82798;08/01/2008;1800;29.2;24.3;67;1009.9;14;4;4;
82798;09/01/2008;0000;27.6;23.7;72;1012.1;14;3;5;
82798;09/01/2008;1200;29.4;23.7;61;1011.8;14;3;3;
82798;09/01/2008;1800;29.6;24.1;63;1008.7;18;5;5;
82798;10/01/2008;0000;27.2;22.8;69;1010.2;14;2.3;5;
82798;10/01/2008;1200;29.6;24.1;63;1011.3;14;4.6;6;
82798;10/01/2008;1800;29.8;24.3;64;1008.3;14;4.8;5;
82798;11/01/2008;0000;27.4;23.9;73;1011.2;14;2.3;6;
82798;11/01/2008;1200;29.6;24.1;63;1011.9;14;4.1;6;
82798;11/01/2008;1800;29.8;24.7;66;1009.7;14;3.3;4;
82798;12/01/2008;0000;27.4;24.3;76;1012.7;14;2.3;6;
82798;12/01/2008;1200;30;24.3;63;1012.7;14;3.5;4;
82798;12/01/2008;1800;29.8;24.3;64;1010.3;14;4.3;4;
82798;13/01/2008;0000;27.2;24.3;79;1012.2;14;3.3;7;
82798;13/01/2008;1200;28.8;24.7;70;1011.9;18;3.5;9;
82798;13/01/2008;1800;27.8;23.9;73;1010;14;3.3;9;
82798;14/01/2008;0000;26.8;23.7;76;1011.4;14;3;9;
82798;14/01/2008;1200;25.8;23.3;80;1012.3;14;1.6;9;
82798;14/01/2008;1800;24.4;22.6;86;1003.1;18;1;9;
82798;15/01/2008;0000;25.8;22.6;75;1011.3;14;1.6;7;
82798;15/01/2008;1200;29.2;24.3;67;1011.9;14;2.5;7;
82798;15/01/2008;1800;28.8;24.7;70;1009.3;14;3;7;
82798;16/01/2008;0000;27;23.5;74;1011.7;9;3;7;
82798;16/01/2008;1200;27.6;24.3;76;1011.8;14;2.5;7;
82798;16/01/2008;1800;27.8;24.5;77;1009.3;14;3.3;10;
82798;17/01/2008;0000;27.4;24.9;80;1011.4;14;2.5;8;
82798;17/01/2008;1200;29.8;25.1;68;1012.3;14;3.3;7;
82798;17/01/2008;1800;28.6;24.9;75;1009.8;14;3.3;9;
82798;18/01/2008;0000;27.2;24.5;81;1012.3;14;3.3;6;
82798;18/01/2008;1200;28.6;24.9;75;1013.5;14;4.8;8;
82798;18/01/2008;1800;29.2;24.1;66;1011.3;14;4.1;8;
82798;19/01/2008;0000;27.2;23.9;76;1012.3;14;3;5;
82798;19/01/2008;1200;29;23.5;63;1012.9;14;4.5;7;
82798;19/01/2008;1800;29.6;24.5;65;1010.4;14;4.6;4;
82798;20/01/2008;0000;27.2;23;70;1012.3;14;2.1;2;
82798;20/01/2008;1200;29.6;24.1;63;1012.9;14;2.1;5;
82798;20/01/2008;1800;29;24.9;71;1010;9;3.3;3;
82798;21/01/2008;0000;27.6;24.7;78;1011.2;9;2.5;7;
82798;21/01/2008;1200;29.4;25.5;71;1012.5;14;2.5;7;
82798;21/01/2008;1800;29.4;25.5;71;1009.6;14;2.8;6;
82798;22/01/2008;0000;27.8;24.8;79;1011.4;9;2;9;
82798;22/01/2008;1200;29;25.3;74;1012.7;14;2.5;7;
82798;22/01/2008;1800;29.4;25.5;71;1009.7;9;3.3;5;
82798;23/01/2008;0000;27.8;24.9;79;1010.6;9;3;5;
82798;23/01/2008;1200;30;25.9;73;1012.3;14;4.1;7;
82798;23/01/2008;1800;29.4;25.5;71;1010;14;3;7;
82798;24/01/2008;0000;27.6;25.1;81;1011.8;9;2.5;5;
82798;24/01/2008;1200;29.8;25.1;68;1012.3;14;4;7;
82798;24/01/2008;1800;30;25.9;73;1009.9;14;3.3;7;
82798;25/01/2008;0000;27.6;24.6;77;1011.6;14;2.5;7;
82798;25/01/2008;1200;29.8;24.1;62;1011.9;14;3.3;5;
82798;25/01/2008;1800;30.2;24.9;64;1009.6;14;3.6;4;
82798;26/01/2008;0000;27.6;24.3;76;1011.4;14;3.3;5;
82798;26/01/2008;1200;30.2;25.1;65;1011.9;14;4;6;
82798;26/01/2008;1800;29.8;24.9;67;1009.6;14;3.8;4;
82798;27/01/2008;0000;27.8;24.3;75;1011.4;14;3.3;5;
82798;27/01/2008;1200;27.6;24.9;80;1012.7;14;2.5;8;
82798;27/01/2008;1800;29.8;24.9;67;1010.6;14;3.3;5;
82798;28/01/2008;0000;27.6;23.8;72;1011.9;14;2;4;
82798;28/01/2008;1200;30;24.7;66;1012.7;14;3.3;6;
82798;28/01/2008;1800;30.8;24.7;62;1009.7;14;4.1;6;
82798;29/01/2008;0000;27.6;24.1;74;1011.9;14;3.3;5;
82798;29/01/2008;1200;29.8;25.1;68;1010.8;14;3.3;7;
82798;29/01/2008;1800;30;25.3;69;1008.3;14;3.3;4;
82798;30/01/2008;0000;27;24.7;82;1009.5;18;2.5;6;
82798;30/01/2008;1200;27;25.1;85;1009.9;18;1.5;9;
82798;30/01/2008;1800;28.4;24.3;71;1007.4;18;1.5;9;
82798;31/01/2008;0000;27.2;25.7;89;1007.8;18;1;8;
82798;31/01/2008;1200;29.2;25.1;72;1009.1;9;2.5;8;
82798;31/01/2008;1800;29.6;24.8;67;1011.3;5;3.1;6;
82798;01/02/2008;0000;27.6;24.4;76;1011.9;5;3.3;8;
82798;01/02/2008;1200;29.8;25.1;68;1011.4;5;2;6;
82798;01/02/2008;1800;29.4;24.4;65;1008.6;5;2;10;
82798;02/02/2008;0000;27.4;24.3;76;1010.4;5;1.5;3;
82798;02/02/2008;1200;30.2;24.9;64;1012.7;14;2.6;4;
82798;02/02/2008;1800;30.2;24.3;60;1010.6;14;3;2;
82798;03/02/2008;0000;28;24.9;76;1013.5;14;3.3;4;
82798;03/02/2008;1200;29.4;25.1;69;1014.3;14;2;3;
82798;03/02/2008;1800;29.8;24.9;67;1012.4;14;3.3;7;
82798;04/02/2008;0000;28.2;24.7;74;1012.4;14;1.6;6;
82798;04/02/2008;1200;29.4;24.3;64;1013.5;14;3.3;4;
82798;04/02/2008;1800;30.4;24.7;62;1011.3;14;4.3;4;
82798;05/02/2008;0000;28;23.9;70;1013.4;14;3;4;
82798;05/02/2008;1200;29.8;24.3;64;1014.7;14;3;4;
82798;05/02/2008;1800;30.4;25.3;66;1012.1;14;3.3;4;
82798;06/02/2008;0000;27.9;23.7;71;1013.8;14;3.1;5;
82798;06/02/2008;1200;29.6;24.5;65;1014.9;14;3.3;4;
82798;06/02/2008;1800;30.2;24.5;61;1012.7;14;3.3;2;
82798;07/02/2008;0000;27.8;24.1;74;1014.4;14;3.1;2;
82798;07/02/2008;1200;29.8;24.5;65;1015.1;14;3.6;4;
82798;07/02/2008;1800;30.2;25.3;66;1012.5;14;3.5;3;
82798;08/02/2008;0000;28;23.5;67;1014.5;14;3.6;4;
82798;08/02/2008;1200;29.8;25.1;68;1014.8;14;4.1;5;
82798;08/02/2008;1800;30.2;25.1;65;1011.9;14;4;4;
82798;09/02/2008;0000;28;24.7;75;1013.2;14;3.6;5;
82798;09/02/2008;1200;30;25.1;68;1013;14;2.6;4;
82798;09/02/2008;1800;30.8;24.9;63;1010.5;14;3.3;4;
82798;10/02/2008;0000;27.6;24.1;74;1011.6;14;3.1;2;
82798;10/02/2008;1200;30;24.1;62;1012.4;14;3;3;
82798;10/02/2008;1800;30.2;24.3;60;1010.7;14;3;0;
82798;11/02/2008;0000;27.8;24.5;77;1012.3;14;2.3;4;
82798;11/02/2008;1200;30.4;25.3;66;1012.8;14;2.3;3;
82798;11/02/2008;1800;30.2;25.1;65;1011;9;3.3;5;
82798;12/02/2008;0000;28;24.5;73;1012.5;14;2.6;5;
82798;12/02/2008;1200;30;25.1;68;1013.4;14;3.8;7;
82798;12/02/2008;1800;30;25.1;68;1010.2;14;3.3;6;
82798;13/02/2008;0000;28.2;24.7;74;1012.1;18;4.6;7;
82798;13/02/2008;1200;30.2;24.5;61;1012.9;14;3.5;6;
82798;13/02/2008;1800;31;24.5;58;1010.6;14;3;2;
82798;14/02/2008;0000;27.8;23.6;70;1012;14;2.5;0;
82798;14/02/2008;1200;30.2;24.3;60;1012.5;14;3.6;6;
82798;14/02/2008;1800;30.4;24.5;61;1010.2;14;3.3;4;
82798;15/02/2008;0000;27.6;23.9;73;1011.7;14;2.5;4;
82798;15/02/2008;1200;29.8;23.7;60;1012.1;14;3.3;4;
82798;15/02/2008;1800;29.8;24.1;62;1009.3;14;2.5;8;
82798;16/02/2008;0000;27.6;23;67;1011;9;3.3;6;
82798;16/02/2008;1200;30;25.3;69;1012.3;14;4.3;5;
82798;16/02/2008;1800;29.8;25.3;70;1010;14;2.6;6;
82798;17/02/2008;0000;27.8;24.5;77;1011.8;14;2.5;3;
82798;17/02/2008;1200;30;25.1;68;1013.1;14;3.5;6;
82798;17/02/2008;1800;29.4;25.1;69;1011.3;14;2.8;8;
82798;18/02/2008;0000;28.2;24.5;73;1013.7;14;2.6;10;
82798;18/02/2008;1200;29.4;25.1;69;1013.7;14;3.3;8;
82798;18/02/2008;1800;30.6;25.5;67;1012.2;14;3.3;9;
82798;19/02/2008;0000;28.2;24.6;74;1014;14;3.3;8;
82798;19/02/2008;1200;30.2;25.1;65;1014.2;14;3.6;5;
82798;19/02/2008;1800;31.2;25.7;64;1011.8;14;5.1;2;
82798;20/02/2008;0000;28;24.7;75;1013.1;14;2.8;5;
82798;20/02/2008;1200;30;24.9;67;1013.1;18;5;4;
82798;20/02/2008;1800;30.6;25.5;67;1009.6;14;3.3;6;
82798;21/02/2008;0000;27.8;23.9;73;1011.7;14;4.3;4;
82798;21/02/2008;1200;30;24.7;66;1013.3;14;3.5;4;
82798;21/02/2008;1800;31;25.1;61;1010.7;14;3.3;5;
82798;22/02/2008;0000;28;24.1;71;1012.8;14;2.5;4;
82798;22/02/2008;1200;30;23.9;61;1014.9;14;3;4;
82798;22/02/2008;1800;30.2;24.7;63;1012.2;14;4;2;
82798;23/02/2008;0000;27.8;23.4;69;1014.2;14;2.8;2;
82798;23/02/2008;1200;30.6;24.7;62;1015.2;18;2.8;3;
82798;23/02/2008;1800;30.2;25.1;65;1012.4;14;2.5;6;
82798;24/02/2008;0000;28;24.5;73;1014.3;14;4.6;4;
82798;24/02/2008;1200;30.2;25.3;66;1014.4;14;2.3;4;
82798;24/02/2008;1800;30.2;25.3;66;1011.9;14;3;4;
82798;25/02/2008;0000;28;25.1;77;1012.4;14;2.3;4;
82798;25/02/2008;1200;30;25.5;70;1013.3;14;2.5;5;
82798;25/02/2008;1800;30.8;25.3;65;1010.6;9;4.3;2;
82798;26/02/2008;0000;28.2;24.7;74;1011.6;9;2.1;4;
82798;26/02/2008;1200;29.8;25.3;70;1011.9;36;3;4;
82798;26/02/2008;1800;30.6;25.7;68;1008.9;5;3.3;1;
82798;27/02/2008;0000;28.4;25.5;79;1011.6;5;3.3;8;
82798;27/02/2008;1200;29.8;24.7;66;1012.7;35;2.5;7;
82798;27/02/2008;1800;30.2;25.3;66;1009;5;3.3;7;
82798;28/02/2008;0000;28;25.1;77;1011.7;5;2.3;4;
82798;28/02/2008;1200;30.8;25.7;67;1012.5;36;3.3;7;
82798;28/02/2008;1800;31.2;25.9;65;1008.7;5;3.8;5;
82798;29/02/2008;0000;28.6;25.1;76;1011.8;35;1.6;4;
82798;29/02/2008;1200;31;26.3;68;1012.3;9;2;6;
82798;29/02/2008;1800;30.8;25.9;69;1008.8;9;3.3;8;
82798;01/03/2008;0000;28.4;25.3;78;1011.2;9;1.6;8;
82798;01/03/2008;1200;30.4;25.1;65;1012.2;14;3.3;4;
82798;01/03/2008;1800;30.4;24.9;63;1008.7;14;3.3;4;
82798;02/03/2008;0000;28.4;24.1;70;1011;14;2.3;3;
82798;02/03/2008;1200;30.6;24.7;62;1011.5;14;2.3;4;
82798;02/03/2008;1800;31;25.1;61;1008.9;14;3.6;3;
82798;03/03/2008;0000;28.4;24.6;73;1011;14;3.1;5;
82798;03/03/2008;1200;31.2;24.9;59;1011.9;14;2.1;5;
82798;03/03/2008;1800;31.2;25.3;62;1009.6;14;3.3;2;
82798;04/03/2008;0000;28.4;24;69;1012.5;14;2;0;
82798;04/03/2008;1200;30.6;25.5;67;1011.7;14;2.3;4;
82798;04/03/2008;1800;30.6;25.9;69;1009.3;14;4;4;
82798;05/03/2008;0000;28.4;25.1;77;1011.4;14;2;6;
82798;05/03/2008;1200;30.4;25.3;66;1011.8;14;3;5;
82798;05/03/2008;1800;30.4;25.1;65;1008.2;14;3.3;3;
82798;06/03/2008;0000;28.2;24.6;74;1010.6;9;2;4;
82798;06/03/2008;1200;30.2;24.9;64;1011.2;18;2.8;4;
82798;06/03/2008;1800;30.4;25.3;66;1008.1;14;4;4;
82798;07/03/2008;0000;28.2;24.5;73;1010.2;14;3;4;
82798;07/03/2008;1200;31;25.3;62;1012.5;14;2.1;4;
82798;07/03/2008;1800;31;24.7;59;1009.9;14;3.6;4;
82798;08/03/2008;0000;28.6;24.5;72;1012.3;14;3;4;
82798;08/03/2008;1200;27.8;24.3;75;1013.7;14;2.8;9;
82798;08/03/2008;1800;28;25.1;77;1011.2;14;3.1;8;
82798;09/03/2008;0000;27.6;24.4;76;1013.3;14;3.3;3;
82798;09/03/2008;1200;30.2;24.9;64;1013.5;14;2.5;6;
82798;09/03/2008;1800;30.2;24.1;59;1010.3;14;3.8;5;
82798;10/03/2008;0000;27.8;23.5;70;1012.4;14;3.6;3;
82798;10/03/2008;1200;31.2;24.9;59;1012.8;14;3;5;
82798;10/03/2008;1800;30;24.7;66;1010.2;14;3.3;4;
82798;11/03/2008;0000;28.2;24.3;72;1012.2;14;2.3;5;
82798;11/03/2008;1200;31;25.3;62;1012.7;14;3.5;5;
82798;11/03/2008;1800;30.6;25.3;66;1010;14;4.6;3;
82798;12/03/2008;0000;28.4;24.9;75;1012.2;14;3;6;
82798;12/03/2008;1200;29.6;25.5;71;1012.8;14;2.5;8;
82798;12/03/2008;1800;30.4;25.7;68;1009.9;14;3;4;
82798;13/03/2008;0000;28;24.5;73;1012.4;14;2.1;2;
82798;13/03/2008;1200;30.2;25.3;66;1012.9;14;2.6;3;
82798;13/03/2008;1800;30.6;25.3;66;1008.9;14;3;0;
82798;14/03/2008;0000;28.4;24.5;73;1012.3;14;2;4;
82798;14/03/2008;1200;31;25.5;63;1011.5;18;2.5;4;
82798;14/03/2008;1800;30.6;25.1;64;1009.1;14;3.3;2;
82798;15/03/2008;0000;28.4;24.7;74;1011.4;14;1.5;5;
82798;15/03/2008;1200;30.2;24.5;61;1012.5;14;3.3;3;
82798;15/03/2008;1800;30;24.3;63;1010.4;14;3.3;1;
