Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82792;01/01/2008;0000;25.3;20.6;66;943.6;14;4.6;0;
82792;01/01/2008;1200;25.4;20.2;63;945.3;14;3;3;
82792;01/01/2008;1800;33;21.2;35;940.9;14;3.8;7;
82792;02/01/2008;0000;25.8;19.4;55;943.5;14;3.8;0;
82792;02/01/2008;1200;26.2;19.2;51;945.7;14;4.8;3;
82792;02/01/2008;1800;33.4;21.6;34;941.4;8;2.6;6;
82792;03/01/2008;0000;26.6;20.6;59;944.2;9;6.6;0;
82792;03/01/2008;1200;26.4;20;56;947.2;14;3.1;2;
82792;03/01/2008;1800;32.4;20.4;34;943.2;9;2.6;6;
82792;04/01/2008;0000;27;20.6;56;945.6;9;5.1;0;
82792;04/01/2008;1200;27;21.2;60;947.8;9;5.3;3;
82792;04/01/2008;1800;33;21.8;38;944.2;9;4.6;5;
82792;05/01/2008;0000;25.8;21;65;945.9;9;7;0;
82792;05/01/2008;1200;25.4;20.4;64;947.8;9;4.6;6;
82792;05/01/2008;1800;33.2;21.4;36;943.2;5;3.8;4;
82792;06/01/2008;0000;26.4;20;56;945.4;9;4.1;0;
82792;06/01/2008;1200;25;19.4;60;946.5;9;3.3;0;
82792;06/01/2008;1800;33.8;20.8;31;941.6;14;2.3;2;
82792;07/01/2008;0000;27;19.4;49;944.6;9;5.1;0;
82792;07/01/2008;1200;24.8;20.2;66;945.7;9;5;2;
82792;07/01/2008;1800;33.6;21.6;34;941;9;4.5;7;
82792;08/01/2008;0000;27.8;22.2;62;943.8;9;6.3;0;
82792;08/01/2008;1200;26.2;21;62;944.4;9;5;2;
82792;08/01/2008;1800;34.5;20.2;26;940.3;9;4.1;4;
82792;09/01/2008;0000;26.2;20.4;59;943.4;9;8;0;
82792;09/01/2008;1200;25.6;19.4;55;944.2;9;5;3;
82792;09/01/2008;1800;32.6;19.4;28;939.2;9;4.8;2;
82792;10/01/2008;0000;26.4;17.4;41;941.2;9;4.1;0;
82792;10/01/2008;1200;25.8;19.8;57;943.7;9;5.3;4;
82792;10/01/2008;1800;32.6;20.6;33;939.6;9;3;8;
82792;11/01/2008;0000;26.6;20.4;58;942.3;9;5.4;0;
82792;11/01/2008;1200;26.4;20.3;57;944.7;14;2.6;5;
82792;11/01/2008;1800;32.4;22.2;42;940.7;18;2.5;9;
82792;12/01/2008;0000;26.1;21.3;66;944.1;9;5.3;2;
82792;12/01/2008;1200;26;22.2;73;945.5;14;3;8;
82792;12/01/2008;1800;33.2;22.8;42;941;14;3.3;8;
82792;13/01/2008;0000;27.1;22.1;65;943.5;9;4.8;9;
82792;13/01/2008;1200;25.8;21.7;70;944.5;14;3.6;5;
82792;13/01/2008;1800;32.2;23;46;940.3;14;3.3;8;
82792;14/01/2008;0000;24.8;21.2;73;944;9;4.3;10;
82792;14/01/2008;1200;25.3;20.6;66;944.5;14;3.6;8;
82792;14/01/2008;1800;30.2;21.6;46;941.1;14;3.3;10;
82792;15/01/2008;0000;25.3;20;62;943.1;9;4.1;2;
82792;15/01/2008;1200;25.8;20.7;63;944.3;9;4.6;10;
82792;15/01/2008;1800;31.4;21.9;44;940.1;18;3.1;10;
82792;16/01/2008;0000;26;21.6;69;942.9;9;6.3;10;
82792;16/01/2008;1200;26;20;58;944.3;9;5.1;7;
82792;16/01/2008;1800;32.8;21.8;38;939.4;14;1.8;10;
82792;17/01/2008;0000;24.6;21;72;943.9;9;4.8;8;
82792;17/01/2008;1200;26.2;21.2;63;945.1;9;3.6;10;
82792;17/01/2008;1800;31.6;21.6;42;941.1;9;5;10;
82792;18/01/2008;0000;25.4;21.2;69;943.8;9;6.3;0;
82792;18/01/2008;1200;25.4;20.8;67;946;9;3.8;10;
82792;18/01/2008;1800;31;21.6;43;942.4;9;2.5;10;
82792;19/01/2008;0000;26.4;21;62;944.5;9;5.8;0;
82792;19/01/2008;1200;24.4;20;68;945.8;9;1.8;8;
82792;19/01/2008;1800;33.6;22;36;940.7;18;2.6;7;
82792;20/01/2008;0000;26.8;20.8;58;943.7;9;5.1;0;
82792;20/01/2008;1200;25.2;20.6;66;945.4;18;3.3;10;
82792;20/01/2008;1800;32.6;22.4;41;941;18;2.5;10;
