Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82791;01/01/2008;0000;29.8;22.8;55;980.6;9;7;4;
82791;01/01/2008;1200;27.2;21.4;60;984.1;14;2.5;6;
82791;02/01/2008;0000;29.9;21.9;50;981.6;9;5.5;0;
82791;02/01/2008;1200;26.3;21;62;984.9;9;3.3;6;
82791;03/01/2008;0000;30;22.6;54;982.5;9;6.6;0;
82791;03/01/2008;1200;28.2;21.9;57;985.8;9;5.5;3;
82791;04/01/2008;0000;29.8;22.6;54;983.5;9;7.6;0;
82791;04/01/2008;1200;29.5;23.3;58;986.4;9;6.5;4;
82791;05/01/2008;0000;28.8;22.6;58;984.7;9;6.3;0;
82791;05/01/2008;1200;28;22.2;59;986.5;9;6.3;6;
82791;06/01/2008;0000;29.8;22.2;52;983.5;9;5.5;0;
82791;06/01/2008;1200;27.9;22;60;985.1;14;4.5;0;
82791;07/01/2008;0000;31;21.8;44;981.6;9;4.6;0;
82791;07/01/2008;1200;27.4;22.4;64;985;9;3.3;4;
82791;08/01/2008;0000;29.2;24;66;981.2;36;2;5;
82791;08/01/2008;1200;28.4;23.1;64;983.2;9;2.5;7;
82791;09/01/2008;0000;29.4;22;51;980.9;5;5.1;0;
82791;09/01/2008;1200;28.5;22;57;982.9;9;5.5;3;
82791;10/01/2008;0000;29.6;20.8;45;978.6;9;5;0;
82791;10/01/2008;1200;27.3;21.4;60;982.6;9;5.1;4;
82791;11/01/2008;0000;30.9;21.6;43;979.4;5;1.6;0;
82791;11/01/2008;1200;29;23.2;61;983;9;2.6;7;
82791;12/01/2008;0000;29.4;23.3;59;981.2;9;4.8;10;
82791;12/01/2008;1200;28.3;23.3;65;984;9;3.6;5;
82791;13/01/2008;0000;29.4;24;63;980.7;9;3.8;7;
82791;13/01/2008;1200;28.8;23.5;63;982.9;9;4.6;8;
82791;14/01/2008;0000;27.6;23;67;981.4;9;7.1;5;
82791;14/01/2008;1200;27.9;23;67;983;9;4.3;9;
82791;15/01/2008;0000;27.2;22;64;981.1;14;6.3;0;
82791;15/01/2008;1200;28.5;23.1;64;982.9;9;4.5;7;
82791;16/01/2008;0000;28.6;23.6;67;980.4;9;2.5;10;
82791;16/01/2008;1200;29;23.1;61;982.9;5;5.1;6;
82791;17/01/2008;0000;27.8;23.1;68;982;5;4.5;6;
82791;17/01/2008;1200;29.1;23.8;65;983.6;9;5.6;8;
82791;18/01/2008;0000;27;23.2;72;982.3;9;5.5;0;
82791;18/01/2008;1200;28.1;23.4;66;985;9;3.8;8;
82791;19/01/2008;0000;27.5;24;74;982.5;5;3.3;6;
82791;19/01/2008;1200;27.3;22.2;65;984.4;14;1.8;7;
82791;20/01/2008;0000;30.6;22.4;50;981;5;3.1;3;
82791;20/01/2008;1200;28;22.8;63;984.1;9;1.8;6;
82791;21/01/2008;0000;31.6;23.3;51;980;23;1;7;
82791;21/01/2008;1200;27.6;23.8;72;984.1;32;1.5;10;
82791;22/01/2008;0000;29.5;24.5;66;981.9;5;2.1;10;
82791;22/01/2008;1200;27.1;24.3;79;984.3;5;0.7;10;
82791;23/01/2008;0000;24.3;22.8;88;983.3;5;3.1;10;
82791;23/01/2008;1200;24.8;24;93;983.7;5;0.7;10;
82791;24/01/2008;0000;26.3;23.7;80;982.6;9;0.3;10;
82791;24/01/2008;1200;27.2;23.7;75;983.4;5;2.3;7;
82791;25/01/2008;0000;28.8;23.3;62;981.2;9;4.8;10;
82791;25/01/2008;1200;28.6;22.8;62;983.3;9;3.8;7;
82791;26/01/2008;0000;31;23.7;53;980.2;14;3;7;
82791;26/01/2008;1200;28.4;23.3;65;983.3;14;3;7;
82791;27/01/2008;0000;29.6;24.2;64;980.6;5;4.1;10;
82791;27/01/2008;1200;28.7;23.2;61;983.6;9;4.8;10;
82791;28/01/2008;0000;27;23.7;75;982.1;9;3.3;7;
82791;28/01/2008;1200;27;22.1;65;984.3;9;4.1;7;
82791;29/01/2008;0000;31.4;23.4;51;981;5;1.3;10;
82791;29/01/2008;1200;27.5;21.9;61;982.5;9;4.3;3;
82791;30/01/2008;0000;30.8;23;52;978.5;14;3;3;
82791;30/01/2008;1200;29.3;23.6;63;980.3;5;2.5;4;
82791;31/01/2008;0000;24.6;23.6;91;978.8;5;1;10;
82791;31/01/2008;1200;27;23.8;76;980.3;5;2.3;10;
82791;01/02/2008;0000;24.4;23.8;96;979.1;32;0.7;10;
82791;01/02/2008;1200;25.1;23.7;87;983.3;5;0.8;10;
82791;02/02/2008;0000;26.8;25;85;981.4;0;0;7;
82791;02/02/2008;1200;26.2;22;68;984.8;9;3.5;7;
82791;03/02/2008;0000;28;23.1;65;982.4;36;0.7;7;
82791;03/02/2008;1200;26.8;23.1;72;985.8;9;2;7;
82791;04/02/2008;0000;25.6;23.7;84;984.4;9;1.5;0;
82791;04/02/2008;1200;27.6;23.4;70;985;9;5;4;
82791;05/02/2008;0000;29.2;21.8;53;982.9;9;3.6;0;
82791;05/02/2008;1200;27.2;22.3;66;985.9;9;5.6;5;
82791;06/02/2008;0000;29.6;21.3;47;983.4;9;2.8;0;
82791;06/02/2008;1200;27.1;22.2;66;986.8;9;6.3;7;
82791;07/02/2008;0000;29;20.7;47;983.7;9;2.8;0;
82791;07/02/2008;1200;28;23.2;65;986.9;9;4.5;5;
82791;08/02/2008;0000;29.7;23.6;60;983.7;5;1.6;10;
82791;08/02/2008;1200;28.1;23;64;986.4;9;4;7;
82791;09/02/2008;0000;29.4;24.4;65;982.2;32;1.6;5;
82791;09/02/2008;1200;27.2;22.6;68;984.2;9;3.3;8;
82791;10/02/2008;0000;28.5;23.7;68;981;27;1;10;
82791;10/02/2008;1200;27.6;22.2;62;984;9;2.5;5;
82791;11/02/2008;0000;28.7;23.4;63;981.7;9;1.1;10;
82791;11/02/2008;1200;27.5;23.2;69;984.5;9;2.5;6;
82791;12/02/2008;0000;24.4;23;89;983;32;2.5;10;
82791;12/02/2008;1200;26.6;23.5;78;984.2;9;2.6;10;
82791;13/02/2008;0000;28.5;22.2;58;982;9;2.5;0;
